x-axis,y-axis,precipitation,air_temp,ocean_temp,ocean_salinity,ice_mask
729600,2310400,554.851745605,261.070800781,272.434295654,4.4081325531,4.0
851200,2310400,583.385437012,261.674865723,272.570648193,4.74051713943,4.0
972800,2310400,563.901000977,262.650238037,272.708892822,6.06707286835,4.0
1094400,2310400,558.869934082,263.584320068,272.812866211,7.75899457932,4.0
1216000,2310400,562.564147949,264.383544922,272.907196045,9.00900173187,4.0
1337600,2310400,570.860717773,265.178161621,273.022155762,9.38725280762,4.0
1459200,2310400,590.080444336,265.649475098,273.088226318,9.0603017807,4.0
1580800,2310400,604.725830078,266.228271484,273.182373047,8.30827045441,4.0
1702400,2310400,623.495178223,267.12298584,273.366394043,7.3835773468,4.0
1824000,2310400,646.251831055,268.024993896,273.555358887,6.48494958878,4.0
1945600,2310400,684.973937988,268.770843506,273.706604004,5.72143602371,4.0
2067200,2310400,733.177490234,269.42401123,273.848114014,5.12754631042,4.0
2188800,2310400,778.906921387,270.130554199,274.01083374,4.68710660934,4.0
2310400,2310400,820.845092773,270.958984375,274.209625244,4.35410690308,4.0
2432000,2310400,841.353027344,271.691650391,,,4.0
2553600,2310400,832.910949707,272.34753418,,,4.0
2675200,2310400,816.533569336,272.876159668,,,4.0
2796800,2310400,808.293823242,273.281799316,,,4.0
2918400,2310400,795.736694336,273.60458374,,,4.0
3040000,2310400,782.929138184,273.693969727,,,4.0
-3040000,2188800,776.841308594,274.860473633,,,4.0
-2918400,2188800,774.860534668,274.337371826,,,4.0
-2796800,2188800,756.488525391,274.065093994,,,4.0
-2675200,2188800,716.660522461,273.406860352,,,4.0
-2553600,2188800,684.979736328,272.571685791,,,4.0
-2432000,2188800,656.958740234,271.398925781,274.122833252,14.2817354202,4.0
-2310400,2188800,623.715820312,270.192687988,273.299835205,14.4297628403,4.0
-2188800,2188800,584.771362305,268.94732666,273.068115234,14.7125482559,4.0
-2067200,2188800,530.91192627,267.850860596,272.869293213,15.0775527954,4.0
-1945600,2188800,494.119140625,267.095581055,272.620605469,15.3979082108,4.0
-1824000,2188800,475.75112915,266.595550537,272.468109131,15.6746387482,4.0
-1702400,2188800,459.831481934,266.033172607,272.401000977,15.8850717545,4.0
-1580800,2188800,465.342010498,265.372528076,272.382843018,16.0046691895,4.0
-1459200,2188800,469.700622559,264.587280273,272.373657227,16.0125045776,4.0
-1337600,2188800,449.859954834,263.862213135,272.359588623,15.8992490768,4.0
-1216000,2188800,423.923492432,263.363311768,272.339385986,15.6617307663,4.0
-1094400,2188800,419.725158691,263.086395264,272.301940918,15.2952136993,4.0
-972800,2188800,425.852081299,262.82434082,272.259979248,14.80286026,4.0
-851200,2188800,429.605621338,262.482727051,272.227966309,14.188243866,4.0
-729600,2188800,468.150177002,262.145355225,272.185333252,13.4580001831,4.0
-608000,2188800,510.322570801,261.627593994,272.132415771,12.6238794327,4.0
-486400,2188800,518.614440918,261.320159912,272.121307373,11.7369937897,4.0
-364800,2188800,515.8671875,261.316375732,272.107025146,11.0123691559,4.0
-243200,2188800,514.810791016,260.773284912,272.134765625,9.23975753784,4.0
-121600,2188800,486.386535645,259.349884033,272.145782471,9.04124641418,4.0
0,2188800,453.416717529,252.892974854,272.230499268,9.80245685577,4.0
121600,2188800,464.166473389,257.594512939,272.629333496,0.862574517727,4.0407037735
243200,2188800,438.878875732,258.80279541,272.820343018,2.71598768234,4.03340816498
364800,2188800,462.322265625,259.428649902,272.708435059,0.775797069073,4.0
486400,2188800,456.243682861,260.729736328,272.675231934,2.36892032623,4.0
608000,2188800,439.547790527,260.007476807,272.581054688,8.41913700104,4.0
729600,2188800,513.641418457,260.908447266,272.275695801,2.89948701859,4.0
851200,2188800,527.948486328,260.927581787,272.367767334,3.55305719376,4.0
972800,2188800,528.431152344,261.471801758,272.462799072,5.84352779388,4.0
1094400,2188800,545.864685059,262.231903076,272.557189941,9.03718757629,4.0
1216000,2188800,582.959228516,262.945404053,272.672912598,11.097949028,4.0
1337600,2188800,601.016418457,263.587432861,272.73236084,11.1493091583,4.0
1459200,2188800,596.36138916,264.23348999,272.732543945,10.3702192307,4.0
1580800,2188800,617.174682617,265.148254395,272.905487061,9.16582012177,4.0
1702400,2188800,632.746337891,266.292877197,273.071289062,7.84717750549,4.0
1824000,2188800,642.993103027,267.359313965,273.273010254,6.71599674225,4.0
1945600,2188800,685.22857666,268.238861084,273.459289551,5.87309265137,4.0
2067200,2188800,733.734375,268.949249268,273.627166748,5.30387830734,4.0
2188800,2188800,774.536499023,269.532226562,273.827087402,4.94012880325,4.0
2310400,2188800,818.950256348,270.263977051,274.033081055,4.69336938858,4.0
2432000,2188800,856.502075195,271.043182373,274.29095459,4.49798583984,4.0
2553600,2188800,853.530456543,271.728912354,,,4.0
2675200,2188800,831.946777344,272.406402588,,,4.0
2796800,2188800,824.616210938,272.969665527,,,4.0
2918400,2188800,807.825012207,273.411865234,,,4.0
3040000,2188800,789.932495117,273.537597656,,,4.0
-3040000,2067200,788.52166748,274.5987854,,,4.0
-2918400,2067200,772.874023438,274.169586182,,,4.0
-2796800,2067200,730.769287109,274.047424316,,,4.0
-2675200,2067200,685.812438965,273.371948242,,,4.0
-2553600,2067200,639.112182617,272.257476807,274.338165283,14.228307724,4.0
-2432000,2067200,598.75793457,270.711303711,273.736480713,14.356751442,4.0
-2310400,2067200,555.044494629,269.385284424,273.309417725,14.6346940994,4.0
-2188800,2067200,510.794128418,268.227478027,272.915039062,15.0189886093,4.0
