x-axis,y-axis,precipitation,air_temp,ocean_temp,ice_velocity
1824000,1216000,75.4954376221,232.403366089,273.02255249,3.78884601593
1945600,1216000,118.682617188,236.385986328,273.08996582,6.68094348907
2067200,1216000,243.627929688,243.618637085,273.040863037,0.0472875833511
-2310400,1094400,1302.69396973,256.20614624,273.286651611,1767.85644531
-2188800,1094400,504.684173584,255.469207764,272.220611572,636.779052734
-729600,1094400,170.341110229,247.991989136,271.742095947,11.6111221313
-608000,1094400,86.631439209,243.970535278,271.760864258,70.7080230713
-486400,1094400,29.8645133972,241.83531189,271.861297607,1.55044865608
-364800,1094400,68.0991973877,241.094711304,271.765258789,23.3875427246
-243200,1094400,65.8178100586,236.833007812,271.851165771,15.7698688507
-121600,1094400,37.9149131775,232.290496826,272.128417969,22.4273700714
0,1094400,33.7587394714,229.591110229,272.128540039,16.5683612823
121600,1094400,30.2386283875,227.773330688,272.326202393,14.251502037
243200,1094400,28.323759079,225.450576782,272.406707764,11.4961118698
364800,1094400,26.7204036713,223.257247925,272.489135742,9.16299247742
486400,1094400,25.1629180908,221.338500977,272.557250977,5.85191011429
608000,1094400,24.3640518188,219.685958862,272.613647461,3.93181586266
729600,1094400,23.8917198181,218.068481445,272.656585693,2.39669537544
851200,1094400,20.1286659241,217.434494019,272.685455322,0.373446375132
972800,1094400,25.4324378967,217.689956665,272.702209473,1.04657196999
1094400,1094400,31.8947105408,219.459106445,272.708343506,2.70920205116
1216000,1094400,37.379989624,221.873596191,272.710113525,3.18603253365
1337600,1094400,43.9931869507,224.991271973,272.712554932,2.79992318153
1459200,1094400,56.9151115417,226.743804932,272.719940186,12.1522750854
1580800,1094400,66.2816085815,227.804122925,272.734283447,9.84655857086
1702400,1094400,77.5279312134,230.215148926,272.749450684,9.20600700378
1824000,1094400,95.1265182495,232.056289673,272.76083374,6.42200231552
1945600,1094400,108.378715515,236.403121948,272.746795654,12.269452095
2067200,1094400,149.741989136,241.939453125,272.669952393,16.3239421844
2188800,1094400,202.133544922,252.135055542,272.765197754,10.8498716354
-2310400,972800,2092.27856445,261.751342773,273.139099121,5.92384386063
-2188800,972800,1206.9230957,255.98588562,272.698272705,0.27613440156
-2067200,972800,605.363952637,251.109512329,272.027038574,0.122166492045
-1945600,972800,432.709228516,250.921447754,271.756500244,0.0108497934416
-1824000,972800,411.291442871,251.532073975,271.593353271,0.239456474781
-729600,972800,161.97946167,244.215194702,271.614318848,375.575836182
-608000,972800,69.0727462769,242.126693726,271.727661133,0.347799450159
-486400,972800,74.5506591797,243.918502808,271.815765381,78.5717086792
-364800,972800,85.8601150513,239.492370605,271.936187744,0.017779359594
-243200,972800,52.0394630432,235.89414978,271.80847168,2.26977968216
-121600,972800,38.5468444824,232.4115448,272.07208252,4.52053928375
0,972800,33.4294509888,230.940078735,272.178527832,11.9187231064
121600,972800,24.9717826843,228.302398682,272.26763916,8.49021434784
243200,972800,27.361825943,226.484542847,272.327087402,19.529214859
364800,972800,25.2719669342,224.056091309,272.404144287,15.0345888138
486400,972800,25.8490028381,221.39302063,272.469146729,8.90901279449
608000,972800,25.1871242523,219.3230896,272.524993896,5.6256570816
729600,972800,23.1149044037,217.102111816,272.57043457,2.40489578247
851200,972800,19.2569198608,215.565261841,272.605407715,0.477355092764
972800,972800,22.3997421265,216.536865234,272.632080078,2.52836942673
1094400,972800,28.4182186127,219.017486572,272.64831543,5.54721927643
1216000,972800,38.0192260742,222.763946533,272.655639648,9.21482467651
1337600,972800,55.0663642883,227.337966919,272.652099609,9.63174247742
1459200,972800,73.0499649048,229.922790527,272.637145996,24.862953186
1580800,972800,83.9680023193,232.103408813,272.618164062,14.5348596573
1702400,972800,89.4682235718,234.875518799,272.570495605,44.2558822632
1824000,972800,109.688049316,235.537231445,272.51651001,16.9065551758
1945600,972800,142.33039856,237.406326294,272.450958252,0.810576856136
2067200,972800,176.699462891,242.890823364,272.389953613,12.3401193619
2188800,972800,222.250549316,248.669555664,272.619445801,12.8517284393
-2067200,851200,960.438110352,258.240722656,271.936035156,10.0671977997
-1945600,851200,470.231079102,254.642715454,271.867156982,0.145033702254
-1824000,851200,613.935974121,252.021408081,271.688140869,0.160330086946
-1702400,851200,343.561096191,247.820343018,271.598419189,1.02534401417
-1580800,851200,111.105140686,249.307052612,271.532623291,0.731517910957
-1459200,851200,245.523834229,257.069122314,271.376831055,1166.75268555
-1337600,851200,206.249237061,250.678359985,271.43460083,1594.22155762
-1216000,851200,204.303375244,247.413314819,271.291412354,1244.94018555
-1094400,851200,190.179016113,246.455093384,271.346984863,265.761688232
-972800,851200,156.419494629,246.806381226,271.297576904,1.43962597847
-851200,851200,244.035400391,245.288665771,271.626586914,5.43131256104
-729600,851200,119.619064331,242.287658691,271.604217529,574.336914062
-608000,851200,83.9112548828,241.484024048,271.702545166,206.697662354
