x-axis,y-axis,precipitation,precip_1,precip_2,precip_3,precip_4,precip_5,precip_6,precip_7,precip_8
2432000,2918400,932.677856445,889.405212402,919.341674805,921.22467041,948.428710938,956.715942383,917.663391113,860.995300293,884.820495605
2553600,2918400,948.428710938,919.341674805,921.22467041,893.696838379,925.073242188,955.321899414,956.715942383,917.663391113,932.677856445
2675200,2918400,925.073242188,921.22467041,893.696838379,856.487487793,892.065246582,924.059814453,955.321899414,956.715942383,948.428710938
2796800,2918400,892.065246582,893.696838379,856.487487793,815.508239746,847.025512695,868.924316406,924.059814453,955.321899414,925.073242188
2918400,2918400,847.025512695,856.487487793,815.508239746,820.287536621,793.044921875,810.530822754,868.924316406,924.059814453,892.065246582
3040000,2918400,793.044921875,815.508239746,820.287536621,,,,810.530822754,868.924316406,847.025512695
-3040000,2796800,691.089599609,,691.873291016,707.027648926,701.741882324,681.442321777,682.87487793,,
-2918400,2796800,701.741882324,691.873291016,707.027648926,706.536865234,697.206237793,673.603393555,681.442321777,682.87487793,691.089599609
-2796800,2796800,697.206237793,707.027648926,706.536865234,697.119750977,690.97454834,670.077331543,673.603393555,681.442321777,701.741882324
-2675200,2796800,690.97454834,706.536865234,697.119750977,677.850341797,680.096618652,669.465209961,670.077331543,673.603393555,697.206237793
-2553600,2796800,680.096618652,697.119750977,677.850341797,644.612304688,639.002624512,646.627868652,669.465209961,670.077331543,690.97454834
-2432000,2796800,639.002624512,677.850341797,644.612304688,602.731567383,585.124816895,601.879150391,646.627868652,669.465209961,680.096618652
-2310400,2796800,585.124816895,644.612304688,602.731567383,555.638061523,548.642150879,575.01159668,601.879150391,646.627868652,639.002624512
-2188800,2796800,548.642150879,602.731567383,555.638061523,520.727111816,532.721374512,574.278259277,575.01159668,601.879150391,585.124816895
-2067200,2796800,532.721374512,555.638061523,520.727111816,509.561676025,535.63659668,587.101135254,574.278259277,575.01159668,548.642150879
-1945600,2796800,535.63659668,520.727111816,509.561676025,519.145629883,544.703857422,593.201904297,587.101135254,574.278259277,532.721374512
-1824000,2796800,544.703857422,509.561676025,519.145629883,533.323669434,548.289489746,586.335510254,593.201904297,587.101135254,535.63659668
-1702400,2796800,548.289489746,519.145629883,533.323669434,545.603759766,551.482055664,576.10357666,586.335510254,593.201904297,544.703857422
-1580800,2796800,551.482055664,533.323669434,545.603759766,555.681030273,570.650512695,587.212768555,576.10357666,586.335510254,548.289489746
-1459200,2796800,570.650512695,545.603759766,555.681030273,542.687744141,562.595397949,586.847106934,587.212768555,576.10357666,551.482055664
-1337600,2796800,562.595397949,555.681030273,542.687744141,525.326416016,552.481445312,581.518005371,586.847106934,587.212768555,570.650512695
-1216000,2796800,552.481445312,542.687744141,525.326416016,524.845275879,548.237548828,566.263427734,581.518005371,586.847106934,562.595397949
-1094400,2796800,548.237548828,525.326416016,524.845275879,517.680786133,531.500854492,534.25769043,566.263427734,581.518005371,552.481445312
-972800,2796800,531.500854492,524.845275879,517.680786133,506.736999512,503.270812988,492.38092041,534.25769043,566.263427734,548.237548828
-851200,2796800,503.270812988,517.680786133,506.736999512,506.89364624,492.418182373,472.648010254,492.38092041,534.25769043,531.500854492
-729600,2796800,492.418182373,506.736999512,506.89364624,501.260864258,477.838470459,453.032012939,472.648010254,492.38092041,503.270812988
-608000,2796800,477.838470459,506.89364624,501.260864258,487.0027771,459.710388184,437.515960693,453.032012939,472.648010254,492.418182373
-486400,2796800,459.710388184,501.260864258,487.0027771,497.007904053,465.215118408,433.970397949,437.515960693,453.032012939,477.838470459
-364800,2796800,465.215118408,487.0027771,497.007904053,517.234802246,477.976287842,432.045684814,433.970397949,437.515960693,459.710388184
-243200,2796800,477.976287842,497.007904053,517.234802246,516.704345703,486.154266357,442.623291016,432.045684814,433.970397949,465.215118408
-121600,2796800,486.154266357,517.234802246,516.704345703,513.388916016,479.421295166,440.746795654,442.623291016,432.045684814,477.976287842
0,2796800,479.421295166,516.704345703,513.388916016,513.037841797,473.427307129,433.224060059,440.746795654,442.623291016,486.154266357
121600,2796800,473.427307129,513.388916016,513.037841797,502.63192749,469.937988281,435.888061523,433.224060059,440.746795654,479.421295166
243200,2796800,469.937988281,513.037841797,502.63192749,493.7137146,477.415039062,456.466796875,435.888061523,433.224060059,473.427307129
364800,2796800,477.415039062,502.63192749,493.7137146,489.494567871,489.463317871,486.920166016,456.466796875,435.888061523,469.937988281
486400,2796800,489.463317871,493.7137146,489.494567871,485.694030762,500.251647949,519.252746582,486.920166016,456.466796875,477.415039062
608000,2796800,500.251647949,489.494567871,485.694030762,491.999908447,501.305908203,530.300354004,519.252746582,486.920166016,489.463317871
729600,2796800,501.305908203,485.694030762,491.999908447,518.826416016,517.410766602,537.992614746,530.300354004,519.252746582,500.251647949
851200,2796800,517.410766602,491.999908447,518.826416016,556.143676758,550.993591309,557.928405762,537.992614746,530.300354004,501.305908203
972800,2796800,550.993591309,518.826416016,556.143676758,591.276428223,579.824707031,577.186340332,557.928405762,537.992614746,517.410766602
1094400,2796800,579.824707031,556.143676758,591.276428223,634.268432617,606.401306152,590.070068359,577.186340332,557.928405762,550.993591309
