x-axis,y-axis,ice_thickness,precipitation,air_temp,ocean_temp,dist,temp_diff,air_roll,ocean_roll,precip_roll
608000,2918400,0.0,485.694030762,265.618164062,272.975158691,2981060.643462323,7.356994628999985,265.5818684895555,272.9749213324444,496.8582424586667
729600,2918400,0.0,491.999908447,265.905761719,273.0730896,3008217.864450645,7.167327881000006,265.84432644311113,273.08074951177775,508.3277994792222
851200,2918400,0.0,518.826416016,266.170074463,273.214050293,3040000.0,7.043975830000022,266.11565483944446,273.2282036677778,531.3673672147778
972800,2918400,0.0,556.143676758,266.395324707,273.44418335,3076263.7078117994,7.048858643000017,266.37048339855556,273.40531073677784,563.5005764433332
1094400,2918400,0.0,591.276428223,266.610412598,273.613037109,3116852.566291835,7.002624511000022,266.62519666888886,273.585422092,600.7651977538889
1216000,2918400,0.0,634.268432617,266.877716064,273.741394043,3161600.0,6.863677978999988,266.9162563748889,273.7333916557778,642.8725789387777
1337600,2918400,0.0,685.929931641,267.234008789,273.8515625,3210332.1198904016,6.617553711000028,267.2776184082222,1.1076899964877779e+36,689.0277709962223
1459200,2918400,0.0,731.706542969,267.683837891,273.939331055,3262870.392767693,6.255493164000029,267.7154981825555,2.2153799929755558e+36,728.9019978843334
1580800,2918400,0.0,753.117736816,268.18963623,274.01373291,3319034.076354143,5.824096679999968,268.2000223796667,4.4307599859511117e+36,758.0787556966667
1702400,2918400,0.0,772.596984863,268.682617188,9.969209968390001e+36,3378642.3782341923,9.969209968390001e+36,268.714565701,6.646139978926668e+36,776.7744750976667
1824000,2918400,0.0,791.596313477,269.220184326,9.969209968390001e+36,3441516.316974249,9.969209968390001e+36,269.2431844076666,8.861519971902225e+36,792.7484469943333
1945600,2918400,0.0,808.398986816,269.781921387,9.969209968390001e+36,3507480.2807713686,9.969209968390001e+36,269.794342041,9.96920996839e+36,807.8717651367778
2067200,2918400,0.0,824.302490234,270.353240967,9.969209968390001e+36,3576363.2925081872,9.969209968390001e+36,270.3624437121111,9.96920996839e+36,824.2454833984444
2188800,2918400,0.0,844.045715332,270.932952881,9.969209968390001e+36,3648000.0,9.969209968390001e+36,270.9037373861111,9.96920996839e+36,847.9536200628887
2310400,2918400,0.0,884.820495605,271.392608643,9.969209968390001e+36,3722231.416771397,9.969209968390001e+36,271.38348388688894,9.96920996839e+36,881.3023342555556
2432000,2918400,0.0,932.677856445,271.761810303,9.969209968390001e+36,3798905.4423609967,9.969209968390001e+36,271.76788669166666,9.96920996839e+36,914.5859171548889
2553600,2918400,0.0,948.428710938,272.052429199,9.969209968390001e+36,3877877.1924856002,9.969209968390001e+36,272.06871202255553,9.96920996839e+36,930.0160251194445
2675200,2918400,0.0,925.073242188,272.267425537,9.969209968390001e+36,3959009.1689714487,9.969209968390001e+36,272.2899746364444,9.96920996839e+36,919.2304280599999
2796800,2918400,0.0,892.065246582,272.396881104,9.969209968390001e+36,4042171.2977062217,9.969209968390001e+36,272.41933865022224,9.96920996839e+36,886.4625108506666
2918400,2918400,0.0,847.025512695,272.417785645,9.969209968390001e+36,4127240.8604296404,9.969209968390001e+36,274.4407145182222,9.96920996839e+36,847.5482109916667
3040000,2918400,0.0,793.044921875,272.303649902,9.969209968390001e+36,4214102.343322952,9.969209968390001e+36,275.4315999348333,9.969209968390001e+36,825.8868916828333
-3040000,2796800,0.0,691.089599609,274.610137939,9.969209968390001e+36,4130821.9811558085,9.969209968390001e+36,274.44655863433337,9.969209968390001e+36,692.6749369303334
-2918400,2796800,0.0,701.741882324,274.258148193,9.969209968390001e+36,4042171.2977062217,9.969209968390001e+36,274.2498406303333,9.96920996839e+36,692.5995686848889
-2796800,2796800,0.0,697.206237793,273.827545166,9.969209968390001e+36,3955272.4912450723,9.969209968390001e+36,273.78698391377776,9.96920996839e+36,691.7477756076665
-2675200,2796800,0.0,690.97454834,273.185760498,9.969209968390001e+36,3870243.5685625784,9.969209968390001e+36,273.2163798014444,9.96920996839e+36,684.7700330946667
-2553600,2796800,0.0,680.096618652,272.510375977,9.969209968390001e+36,3787210.4773830567,9.969209968390001e+36,272.61299981011115,9.96920996839e+36,668.4251776802222
-2432000,2796800,0.0,639.002624512,272.031219482,9.969209968390001e+36,3706307.359083971,9.969209968390001e+36,272.10130479611115,9.96920996839e+36,638.598944770111
-2310400,2796800,0.0,585.124816895,271.723846436,9.969209968390001e+36,3627676.7220908757,9.969209968390001e+36,271.6760219998889,9.96920996839e+36,599.9189046225556
-2188800,2796800,0.0,548.642150879,271.340240479,9.969209968390001e+36,3551469.5099352887,9.969209968390001e+36,271.19885253922223,9.96920996839e+36,566.3060099284444
-2067200,2796800,0.0,532.721374512,270.676025391,9.969209968390001e+36,3477845.0339254625,9.969209968390001e+36,270.59688991977777,8.861519971902223e+36,548.8131069606666
-1945600,2796800,0.0,535.63659668,269.930419922,9.969209968390001e+36,3406970.736592846,9.969209968390001e+36,269.88755628800004,7.753829975414446e+36,546.341949462889
-1824000,2796800,0.0,544.703857422,269.183044434,9.969209968390001e+36,3339021.7489558225,9.969209968390001e+36,269.17416381833334,5.538449982438889e+36,550.8110521105556
-1702400,2796800,0.0,548.289489746,268.503387451,273.130645752,3274180.2027377784,4.62725830100004,268.48847113711116,3.323069989463334e+36,555.3543836806667
-1580800,2796800,0.0,551.482055664,267.861877441,272.999053955,3212634.258673091,5.137176514000032,267.81774563255556,1.1076899964877779e+36,561.6313747830001
-1459200,2796800,0.0,570.650512695,267.178833008,272.894195557,3154576.8147249166,5.715362548999963,267.1815694173334,272.90418158644445,564.3182169596668
-1337600,2796800,0.0,562.595397949,266.602813721,272.824951172,3100203.8642644132,6.2221374509999805,266.6002231173333,272.83916558177776,562.7778252495556
-1216000,2796800,0.0,552.481445312,266.115875244,272.779144287,3049712.4848090187,6.663269043000014,266.1009351941111,272.797217475,554.5335964626667
-1094400,2796800,0.0,548.237548828,265.660217285,272.751861572,3003298.453367564,7.091644287000008,265.6751166448889,272.76900227855555,542.4568277994445
-972800,2796800,0.0,531.500854492,265.279693604,272.741546631,2961153.504970656,7.461853027000018,265.3265448677777,272.75145806188885,525.0193684895555
-851200,2796800,0.0,503.270812988,265.018035889,272.7394104,2923462.276137662,7.721374511000022,265.08436075866666,272.7460734048889,506.42087809244447
-729600,2796800,0.0,492.418182373,264.884796143,272.757110596,2890399.0035979464,7.872314453000001,264.9455396865556,272.7492201062222,489.608879937
-608000,2796800,0.0,477.838470459,264.834106445,272.771392822,2862124.078372564,7.937286377000021,264.8763156466667,272.74792819544444,476.48003472222223
-486400,2796800,0.0,459.710388184,264.802490234,272.75100708,2838780.5832786723,7.948516846000018,264.84440782322224,272.7379998101111,468.06154378255553
-364800,2796800,0.0,465.215118408,264.815002441,272.737915039,2820490.9643535465,7.922912597999982,264.81628757044444,272.721778022,467.51992458766665
-243200,2796800,0.0,477.976287842,264.778594971,272.731445312,2807353.9997656154,7.952850340999987,264.809858534,272.7123040093333,474.3257887097777
-121600,2796800,0.0,486.154266357,264.798828125,272.728424072,2799442.2301594294,7.929595946999996,264.8266330295555,272.7142706976667,478.4772983126667
0,2796800,0.0,479.421295166,264.860565186,272.740966797,2796800.0,7.880401611000025,264.86402723533337,272.7304857042222,477.6364576552222
121600,2796800,0.0,473.427307129,264.8777771,272.769775391,2799442.2301594294,7.891998290999993,264.91729736344445,272.75394354933337,473.5226881238889
243200,2796800,0.0,469.937988281,264.943725586,272.775756836,2807353.9997656154,7.83203125,264.987382677,272.7867363823333,472.86030409066666
364800,2796800,0.0,477.415039062,265.056213379,272.807647705,2820490.9643535465,7.751434326000037,265.1024271647778,272.83016628677774,477.9923977321111
486400,2796800,0.0,489.463317871,265.238372803,272.876556396,2838780.5832786723,7.638183593000008,265.26558770066663,272.88988240544444,488.74133639866676
608000,2796800,0.0,500.251647949,265.481628418,272.958587646,2862124.078372564,7.476959227999998,265.49489339188887,272.96698337133336,499.40918307833334
729600,2796800,0.0,501.305908203,265.796600342,273.091033936,2890399.0035979464,7.294433593999997,265.76973130966667,273.06748792866665,511.4482659234444
851200,2796800,0.0,517.410766602,266.09085083,273.254943848,2923462.276137662,7.16409301799996,266.0592515734445,273.20828586166664,529.2112935385554
972800,2796800,0.0,550.993591309,266.348449707,273.432800293,2961153.504970656,7.084350586000028,266.3337063261111,273.38334147122225,554.1758829754446
1094400,2796800,0.0,579.824707031,266.605865479,273.629669189,3003298.453367564,7.023803710000038,266.61885240344446,273.5717061358889,582.6769951714444
