x-axis,y-axis,ice_velocity,precipitation,air_temp,ocean_temp,dist,temp_diff,air_roll,ocean_roll,precip_roll
-364800,2918400,,497.007904053,264.746582031,272.699035645,2941111.6265793107,7.952453613999978,264.8830749511428,272.7133867536572,474.15052577428577
-243200,2918400,,517.234802246,264.713012695,272.697479248,2928515.8015622864,7.984466553000004,264.88179495677144,272.7136143276286,471.94033290320004
-121600,2918400,,516.704345703,264.771392822,272.693328857,2920932.2347497214,7.921936034999987,264.9011744908,272.7165780204571,470.4947849818285
0,2918400,,513.388916016,264.851989746,272.704742432,2918400.0,7.852752685999974,264.94040527345715,272.7298357282857,471.6802062987714
121600,2918400,,513.037841797,264.900909424,272.741363525,2920932.2347497214,7.8404541009999775,265.00098092220003,272.75762067522857,474.42644391737144
243200,2918400,,502.63192749,265.030487061,272.751068115,2928515.8015622864,7.720581054000036,265.0986825125429,272.79623761857147,477.9895743233428
364800,2918400,,493.7137146,265.17791748,272.800262451,2941111.6265793107,7.622344970999961,265.23444301060005,272.84626639234284,482.69648175914284
486400,2918400,,489.494567871,265.36907959,272.883636475,2958655.694737054,7.51455688499999,265.39932250979996,272.9089416504,490.47449776782855
608000,2918400,,485.694030762,265.618164062,272.975158691,2981060.643462323,7.356994628999985,265.59498116628566,272.99259643554285,502.95801827568573
729600,2918400,,491.999908447,265.905761719,273.0730896,3008217.864450645,7.167327881000006,265.8147853306572,273.1012843540286,520.1270411900571
851200,2918400,,518.826416016,266.170074463,273.214050293,3040000.0,7.043975830000022,266.06818411691427,273.22821044917146,540.9871381487428
972800,2918400,,556.143676758,266.395324707,273.44418335,3076263.7078117994,7.048858643000017,266.35868530274286,273.3667061941428,566.5730686733142
1094400,2918400,,591.276428223,266.610412598,273.613037109,3116852.566291835,7.002624511000022,266.68113577711426,2.848345705254286e+35,597.5559143067429
1216000,2918400,,634.268432617,266.877716064,273.741394043,3161600.0,6.863677978999988,267.0347176688571,5.696691410508572e+35,631.3070556641715
1337600,2918400,,685.929931641,267.234008789,273.8515625,3210332.1198904016,6.617553711000028,267.4220380510857,1.1393382821017144e+36,665.7391392299713
1459200,2918400,,731.706542969,267.683837891,273.939331055,3262870.392767693,6.255493164000029,267.85015694757135,1.9938419936780004e+36,699.426620047457
1580800,2918400,,753.117736816,268.18963623,274.01373291,3319034.076354143,5.824096679999968,268.3214320591428,2.848345705254286e+36,732.4588117327428
1702400,2918400,,772.596984863,268.682617188,9.969209968390001e+36,3378642.3782341923,9.969209968390001e+36,268.82902047294283,3.987683987356001e+36,764.6141688756287
1824000,2918400,,791.596313477,269.220184326,9.969209968390001e+36,3441516.316974249,9.969209968390001e+36,269.3723571777715,5.411856839983143e+36,792.5798357282857
1945600,2918400,,808.398986816,269.781921387,9.969209968390001e+36,3507480.2807713686,9.969209968390001e+36,269.9274980817715,6.551195122084859e+36,816.5666224888
2067200,2918400,,824.302490234,270.353240967,9.969209968390001e+36,3576363.2925081872,9.969209968390001e+36,270.4704799107429,7.690533404186573e+36,842.2853498185999
2188800,2918400,,844.045715332,270.932952881,9.969209968390001e+36,3648000.0,9.969209968390001e+36,270.9892159598285,8.545037115762858e+36,868.5914829799142
2310400,2918400,,884.820495605,271.392608643,9.969209968390001e+36,3722231.416771397,9.969209968390001e+36,271.4660478864572,9.114706256813715e+36,890.4433576311427
